article,is_tk,is_han,name_id,is_engi
李豊_(後漢),TRUE,FALSE,李豊,FALSE
梁綱,TRUE,FALSE,梁綱,FALSE
梁緒,TRUE,FALSE,梁緒,FALSE
梅成,TRUE,FALSE,梅成,FALSE
楊キ,TRUE,FALSE,楊琦,FALSE
楊定_(後漢),TRUE,TRUE,楊定,FALSE
楊密,TRUE,FALSE,楊密,FALSE
楽就,TRUE,FALSE,楽就,FALSE
王昌_(後漢),TRUE,FALSE,王昌,FALSE
王楷,TRUE,FALSE,王楷,FALSE
皇甫リ,TRUE,FALSE,皇甫酈,FALSE
秦宜禄,TRUE,FALSE,秦宜禄,FALSE
胡才,TRUE,TRUE,胡才,FALSE
董コウ,TRUE,FALSE,董璜,FALSE
蕭建,TRUE,FALSE,蕭建,FALSE
薛洪,TRUE,FALSE,薛洪,FALSE
薛礼,TRUE,FALSE,薛礼,FALSE
袁渙,TRUE,FALSE,袁渙,FALSE
許シ,TRUE,FALSE,許汜,FALSE
諸葛直,TRUE,FALSE,諸葛直,FALSE
陰キ,TRUE,FALSE,陰夔,FALSE
陸胤,TRUE,FALSE,陸胤,FALSE
韓忠_(遼東),TRUE,FALSE,韓忠,FALSE
韓忠_(黄巾),TRUE,FALSE,韓忠,FALSE
韓胤,TRUE,FALSE,韓胤,FALSE
高沛,TRUE,FALSE,高沛,FALSE
鮮于輔,TRUE,FALSE,鮮于輔,FALSE
黄エン,TRUE,TRUE,黄琬,FALSE
黄叙,TRUE,FALSE,黄敍,FALSE
劉徳然,TRUE,TRUE,劉徳然,FALSE
張裕,TRUE,FALSE,張裕,FALSE
楊懐,TRUE,FALSE,楊懐,FALSE
波才,TRUE,TRUE,波才,FALSE
王戎,TRUE,FALSE,王戎,FALSE
韋康,TRUE,FALSE,韋康,FALSE
馬承,TRUE,FALSE,馬承,FALSE
高柔,TRUE,FALSE,高柔,FALSE
カク普,TRUE,TRUE,郝普,FALSE
チュウ輯,TRUE,FALSE,种輯,FALSE
トウ方,TRUE,FALSE,鄧方,FALSE
ホウ林,TRUE,FALSE,龐林,FALSE
ホウ羲,TRUE,FALSE,龐羲,FALSE
令狐愚,TRUE,FALSE,令狐愚,FALSE
任峻,TRUE,FALSE,任峻,FALSE
婁圭,TRUE,FALSE,婁圭,FALSE
尹奉,TRUE,FALSE,尹奉,FALSE
張允_(荊州),TRUE,FALSE,張允,FALSE
曹ケン,TRUE,FALSE,曹玹,FALSE
曹勤,TRUE,FALSE,曹勤,FALSE
曹矩,TRUE,FALSE,曹矩,FALSE
棗祗,TRUE,FALSE,棗祗,FALSE
王元姫,TRUE,FALSE,王元姫,FALSE
王謀,TRUE,FALSE,王謀,FALSE
秦朗,TRUE,FALSE,秦朗,FALSE
衛茲,TRUE,FALSE,衛茲,FALSE
路招,TRUE,FALSE,路招,FALSE
鄭度,TRUE,FALSE,鄭度,FALSE
陳修,TRUE,FALSE,陳修,FALSE
鮑勲,TRUE,FALSE,鮑勛,FALSE
黄射,TRUE,FALSE,黄射,FALSE
キ覧,TRUE,TRUE,嬀覧,FALSE
ホウイク,TRUE,FALSE,龐淯,FALSE
劉テイ_(建安七子),TRUE,FALSE,劉楨,FALSE
張奮,TRUE,TRUE,張奮,FALSE
曹ズイ,TRUE,FALSE,曹蕤,FALSE
曹ヨウ,TRUE,FALSE,曹邕,FALSE
曹協,TRUE,FALSE,曹協,FALSE
曹尋,TRUE,FALSE,曹尋,FALSE
曹悌,TRUE,FALSE,曹悌,FALSE
曹温,TRUE,FALSE,曹温,FALSE
曹翕,TRUE,FALSE,曹翕,FALSE
曹鑑,TRUE,FALSE,曹鑒,FALSE
甘夫人,TRUE,FALSE,甘夫人,FALSE
ホウ柔,TRUE,FALSE,龐柔,FALSE
任安_(後漢),TRUE,TRUE,任安,FALSE
孟宗,TRUE,FALSE,孟宗,FALSE
徐キュウ,TRUE,TRUE,徐璆,FALSE
沈友,TRUE,FALSE,沈友,FALSE
胡昭,TRUE,FALSE,胡昭,FALSE
ヘイ原,TRUE,FALSE,邴原,FALSE
ホウ宏,TRUE,FALSE,龐宏,FALSE
何キ,TRUE,FALSE,何夔,FALSE
何ギョウ,TRUE,FALSE,何顒,FALSE
公孫修,TRUE,FALSE,公孫修,FALSE
孫震_(孫呉),TRUE,FALSE,孫震,FALSE
曹偃,TRUE,FALSE,曹偃,FALSE
曹啓,TRUE,FALSE,曹啓,FALSE
柳甫,TRUE,FALSE,柳甫,FALSE
楊俊_(曹魏),TRUE,FALSE,楊俊,FALSE
王弼,TRUE,FALSE,王弼,FALSE
王観,TRUE,FALSE,王観,FALSE
裴潜,TRUE,FALSE,裴潜,FALSE
趙ゲン,TRUE,FALSE,趙儼,FALSE
馬日テイ,TRUE,TRUE,馬日,FALSE
ケイギョウ,TRUE,FALSE,邢顒,FALSE
劉ヨウ_(蜀漢),TRUE,FALSE,劉邕,FALSE
姚チュウ,TRUE,FALSE,姚伷,FALSE
張純_(後漢末),TRUE,TRUE,張純,FALSE
朱績,TRUE,FALSE,朱績,FALSE
賈ソウ,TRUE,FALSE,賈琮,FALSE
趙イク,TRUE,FALSE,趙昱,FALSE
韋誕,TRUE,FALSE,韋誕,FALSE
頼恭,TRUE,FALSE,頼恭,FALSE
傅カ,TRUE,FALSE,傅嘏,FALSE
劉ヨク,TRUE,FALSE,劉廙,FALSE
周処,TRUE,FALSE,周処,FALSE
皇象,TRUE,FALSE,皇象,FALSE
程畿,TRUE,FALSE,程畿,FALSE
衛臻,TRUE,FALSE,衛臻,FALSE
尹大目,TRUE,FALSE,尹大目,FALSE
蘇則,TRUE,FALSE,蘇則,FALSE
賀邵,TRUE,FALSE,賀邵,FALSE
劉虎,TRUE,FALSE,劉虎,FALSE
司馬順,TRUE,FALSE,司馬順,FALSE
孫キン,TRUE,FALSE,孫歆,FALSE
孫異,TRUE,FALSE,孫異,FALSE
薛悌,TRUE,FALSE,薛悌,FALSE
成済,TRUE,FALSE,成済,FALSE
